rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
273,ASun,32.0,107.8,117.3,0.2753,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,54.0,31.1,72.5,-11.5,North Florida,,,2025,post,0,,0.0
274,MAC,32.0,99.8,108.5,0.275,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,39.7,42.4,69.0,-14.2,Bowling Green,,,2025,post,0,,0.0
275,Pat,33.0,104.0,113.2,0.2737,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,42.2,40.0,67.3,-14.9,Colgate,,,2025,post,0,,0.0
276,AE,33.0,103.4,112.7,0.2708,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,36.0,34.9,67.8,-12.9,Albany,,,2025,post,0,,0.0
277,MAC,32.0,102.3,111.6,0.2691,47.0,54.5,15.8,16.6,34.4,27.9,31.0,33.2,49.3,55.0,28.2,35.8,32.9,41.0,68.0,-14.7,Western Michigan,,,2025,post,0,,0.0
278,SC,33.0,98.4,107.5,0.2652,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,40.1,46.0,71.2,-14.4,Mercer,,,2025,post,0,,0.0
279,Slnd,31.0,95.9,104.9,0.2646,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,36.9,37.1,67.6,-12.0,Stephen F. Austin,,,2025,post,0,,0.0
280,NEC,33.0,95.2,104.2,0.2613,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,33.4,39.8,65.1,-12.6,LIU,,,2025,post,0,,0.0
281,WCC,33.0,100.8,110.4,0.2606,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,37.8,39.5,66.8,-15.6,Pacific,,,2025,post,0,,0.0
282,SWAC,32.0,95.7,105.0,0.2546,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,35.8,41.3,70.2,-11.9,Texas Southern,,,2025,post,0,,0.0
283,BSky,32.0,102.0,112.0,0.2533,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,37.6,38.4,67.3,-16.4,Eastern Washington,,,2025,post,0,,0.0
284,MAAC,30.0,96.8,106.6,0.2497,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,37.6,35.4,64.3,-8.0,Marist,,,2025,post,0,,0.0
285,OVC,33.0,102.1,112.7,0.244,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52.0,31.1,35.0,47.3,48.2,66.5,-15.4,Tennessee Martin,,,2025,post,0,,0.0
286,Pat,34.0,101.3,111.9,0.2415,48.0,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,37.1,41.2,67.2,-16.2,Navy,,,2025,post,0,,0.0
287,WAC,32.0,93.1,102.9,0.2404,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45.0,52.9,32.2,33.9,25.6,42.2,65.8,-13.3,Tarleton St.,,,2025,post,0,,0.0
288,ASun,33.0,102.0,112.9,0.2372,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36.0,47.1,52.0,34.0,37.9,40.2,35.9,66.2,-13.5,Austin Peay,,,2025,post,0,,0.0
289,MAAC,28.0,95.4,105.6,0.2358,44.7,47.3,20.7,17.6,37.0,31.0,34.7,37.6,42.4,47.0,32.2,31.9,38.5,38.0,64.0,-13.3,Saint Peter's,,,2025,post,0,,0.0
290,OVC,32.0,101.3,112.3,0.2352,50.7,49.6,17.4,15.2,25.0,32.4,28.8,22.2,49.0,50.6,35.1,31.9,46.4,34.1,68.1,-13.2,Tennessee Tech,,,2025,post,0,,0.0
291,BSky,34.0,100.9,112.1,0.2301,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,37.2,43.0,65.7,-17.1,Weber St.,,,2025,post,0,,0.0
292,SB,35.0,99.7,110.8,0.2297,44.1,51.2,16.9,16.0,36.4,32.0,30.9,35.0,45.0,51.2,28.3,34.1,35.8,35.3,66.3,-15.3,Old Dominion,,,2025,post,0,,0.0
293,MWC,32.0,98.7,109.7,0.2293,50.1,54.6,20.8,15.7,22.7,29.0,35.4,35.4,50.5,54.8,33.1,36.3,48.5,36.2,64.7,-19.3,Air Force,,,2025,post,0,,0.0
294,WCC,33.0,100.0,111.2,0.2276,45.7,54.0,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,35.8,38.3,71.2,-19.5,San Diego,,,2025,post,0,,0.0
295,SWAC,33.0,97.7,108.7,0.2271,48.2,48.8,19.5,16.7,28.8,30.0,35.9,32.4,48.4,49.8,31.9,31.3,33.9,36.9,69.2,-10.1,Bethune Cookman,,,2025,post,0,,0.0
296,Pat,33.0,97.8,108.9,0.2264,50.2,50.4,16.6,16.7,24.0,28.0,30.5,26.9,49.7,48.3,34.0,35.8,40.3,37.9,66.4,-16.8,Lafayette,,,2025,post,0,,0.0
297,Ivy,27.0,104.4,116.6,0.2201,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,39.1,41.8,71.0,-11.3,Columbia,,,2025,post,0,,0.0
298,Sum,30.0,103.7,115.8,0.2199,50.0,55.0,16.3,13.9,22.6,33.1,35.0,38.2,48.5,56.6,34.4,35.0,45.7,40.2,67.5,-17.2,Oral Roberts,,,2025,post,0,,0.0
299,NEC,34.0,100.2,112.0,0.218,51.8,51.2,19.7,16.2,25.0,29.9,24.0,27.8,52.6,53.3,33.8,32.2,42.0,43.1,67.4,-12.1,Saint Francis,16.0,R68,2025,post,0,,0.0
300,Pat,30.0,99.8,111.7,0.2154,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53.0,36.4,31.2,37.3,36.7,67.4,-15.2,Lehigh,,,2025,post,0,,0.0
301,SB,33.0,97.9,109.7,0.2133,45.7,51.3,16.0,19.1,25.9,35.5,29.8,43.8,45.0,53.8,31.3,31.5,38.1,36.9,66.5,-15.7,Louisiana,,,2025,post,0,,0.0
302,NEC,33.0,98.2,110.0,0.2125,49.1,50.5,17.1,17.6,25.9,32.0,32.1,30.4,49.7,53.3,32.2,30.3,41.5,35.6,69.5,-15.7,Fairleigh Dickinson,,,2025,post,0,,0.0
303,WAC,33.0,101.8,114.1,0.2113,48.8,53.0,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,39.8,31.5,67.6,-19.9,Utah Tech,,,2025,post,0,,0.0
304,MEAC,32.0,103.1,115.6,0.211,53.5,52.3,21.2,16.5,29.0,33.8,35.7,40.9,52.6,53.1,36.6,33.8,38.4,33.5,69.9,-15.6,Howard,,,2025,post,0,,0.0
305,Ivy,27.0,103.2,116.0,0.2068,49.4,53.0,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,44.4,39.2,67.1,-13.8,Penn,,,2025,post,0,,0.0
306,SB,33.0,96.8,109.0,0.2044,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,36.9,38.4,71.0,-16.9,Southern Miss,,,2025,post,0,,0.0
307,Horz,32.0,109.5,123.3,0.2038,50.4,57.0,15.7,16.0,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,47.3,40.8,65.1,-17.5,IU Indy,,,2025,post,0,,0.0
308,MAAC,33.0,102.1,115.0,0.2029,47.7,53.1,17.2,16.0,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,30.1,40.9,65.1,-14.6,Rider,,,2025,post,0,,0.0
309,Pat,31.0,100.0,112.8,0.2006,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,39.6,35.7,66.8,-16.1,Loyola MD,,,2025,post,0,,0.0
310,OVC,31.0,93.7,105.8,0.1985,44.1,51.0,18.7,20.8,30.0,30.9,33.0,39.7,42.6,50.2,31.7,34.7,29.7,44.4,66.4,-14.4,Eastern Illinois,,,2025,post,0,,0.0
311,BSth,32.0,99.2,112.1,0.1966,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,42.0,29.2,67.8,-16.2,Charleston Southern,,,2025,post,0,,0.0
312,Pat,33.0,100.3,113.4,0.1951,49.5,53.7,14.3,16.0,25.9,29.2,26.1,27.4,51.4,54.8,31.2,34.8,41.7,42.0,67.9,-12.0,Army,,,2025,post,0,,0.0
313,SC,34.0,98.6,111.6,0.1935,48.5,54.2,18.0,17.6,25.2,32.1,37.5,30.5,50.3,56.3,31.0,34.5,46.9,47.5,68.4,-14.7,VMI,,,2025,post,0,,0.0
314,Pat,32.0,98.5,111.6,0.1918,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32.0,50.7,51.2,33.0,36.1,41.9,40.2,63.5,-13.2,Boston University,,,2025,post,0,,0.0
315,MEAC,30.0,101.2,114.7,0.1908,48.8,53.8,18.1,20.0,34.0,32.1,36.3,40.3,47.6,56.3,35.5,33.5,20.7,41.1,70.4,-10.9,Delaware St.,,,2025,post,0,,0.0
316,AE,32.0,105.1,119.2,0.1907,55.2,54.1,15.9,17.4,19.4,33.7,31.6,27.9,53.8,54.2,38.4,35.8,38.4,34.4,70.7,-15.6,UMBC,,,2025,post,0,,0.0
317,BW,32.0,100.6,114.1,0.1906,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47.0,51.2,35.3,38.1,37.1,37.6,64.3,-19.1,Long Beach St.,,,2025,post,0,,0.0
318,SB,32.0,101.3,114.9,0.1901,49.4,48.6,18.4,10.5,29.0,28.7,34.4,36.9,47.7,48.5,34.8,32.5,39.2,36.3,63.4,-18.2,Coastal Carolina,,,2025,post,0,,0.0
319,SWAC,34.0,95.8,108.7,0.1898,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47.0,32.0,35.7,35.0,35.6,64.1,-16.8,Grambling St.,,,2025,post,0,,0.0
320,AE,32.0,98.8,112.2,0.1894,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,36.2,40.3,65.8,-14.1,Binghamton,,,2025,post,0,,0.0
321,OVC,33.0,94.9,107.8,0.1875,45.0,50.7,17.9,19.4,30.0,31.5,36.0,34.7,47.6,50.0,26.7,34.6,34.6,37.5,69.7,-12.8,Lindenwood,,,2025,post,0,,0.0
322,OVC,32.0,98.3,112.0,0.1822,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,34.1,33.4,64.3,-13.1,Morehead St.,,,2025,post,0,,0.0
323,SWAC,31.0,102.2,116.5,0.1817,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,46.6,36.5,67.4,-10.8,Florida A&M,,,2025,post,0,,0.0
324,MEAC,33.0,102.5,117.0,0.1801,50.1,54.8,19.2,21.0,34.6,38.8,39.8,42.0,49.9,57.6,33.7,32.7,34.0,32.8,67.2,-15.3,North Carolina Central,,,2025,post,0,,0.0
325,SWAC,32.0,97.6,111.5,0.1788,46.1,53.0,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,29.6,45.3,65.0,-14.9,Alcorn St.,,,2025,post,0,,0.0
326,WAC,31.0,96.0,109.7,0.1771,46.8,49.9,21.6,15.1,30.1,32.0,36.2,33.0,47.2,49.8,30.5,33.3,32.6,27.7,69.2,-13.6,Southern Utah,,,2025,post,0,,0.0
327,Horz,32.0,101.1,115.6,0.1762,50.9,54.8,18.0,14.6,18.4,32.0,37.0,35.4,52.2,54.1,32.9,37.3,46.2,39.4,69.3,-22.6,Green Bay,,,2025,post,0,,0.0
328,MAAC,31.0,100.9,115.5,0.1743,52.0,53.0,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,42.8,38.4,65.1,-16.7,Niagara,,,2025,post,0,,0.0
329,Slnd,31.0,96.8,111.1,0.1694,49.2,53.8,22.5,19.9,28.1,35.9,28.0,36.5,51.1,52.6,31.4,37.4,48.3,34.6,67.7,-19.8,Texas A&M Commerce,,,2025,post,0,,0.0
330,NEC,32.0,100.3,115.3,0.1683,51.1,50.9,18.3,16.2,26.4,29.4,31.4,32.7,49.4,50.1,35.4,34.9,44.5,33.3,65.4,-13.7,Stonehill,,,2025,post,0,,0.0
331,Pat,32.0,101.0,116.1,0.1675,53.1,53.5,17.9,13.6,23.3,27.0,22.2,25.4,49.6,54.5,38.6,34.5,42.3,37.8,66.1,-15.5,Holy Cross,,,2025,post,0,,0.0
332,NEC,31.0,100.4,116.0,0.1589,48.6,55.0,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56.0,35.7,35.7,36.4,39.8,64.8,-12.6,Mercyhurst,,,2025,post,0,,0.0
333,CAA,32.0,101.6,117.8,0.1546,47.7,56.0,18.3,14.9,29.5,31.2,31.6,28.4,45.7,57.2,33.8,36.3,39.0,42.3,64.7,-19.6,Stony Brook,,,2025,post,0,,0.0
334,BSth,32.0,99.2,115.1,0.1534,49.8,56.1,19.0,16.6,25.3,32.4,30.4,39.5,53.1,58.3,29.4,35.2,36.9,40.2,73.0,-21.0,USC Upstate,,,2025,post,0,,0.0
335,MAAC,32.0,97.5,113.2,0.1524,46.3,53.7,15.5,18.2,28.6,31.0,25.4,31.0,45.8,53.4,31.5,36.0,38.3,36.9,66.1,-16.9,Fairfield,,,2025,post,0,,0.0
336,OVC,30.0,98.7,114.9,0.1494,47.9,51.8,17.2,16.7,27.9,31.3,30.7,35.6,45.4,50.0,35.2,36.7,33.5,36.5,67.2,-17.4,Southern Indiana,,,2025,post,0,,0.0
337,MEAC,32.0,100.5,117.2,0.1469,49.0,52.4,17.9,17.0,34.1,36.9,35.7,39.1,49.5,51.0,31.6,36.8,21.7,34.3,70.7,-14.4,Morgan St.,,,2025,post,0,,0.0
338,CAA,32.0,96.6,112.8,0.1441,45.8,51.5,15.4,15.3,27.0,31.4,31.2,30.0,46.3,52.4,30.0,33.3,36.0,38.5,69.5,-20.1,North Carolina A&T,,,2025,post,0,,0.0
339,NEC,30.0,93.1,108.8,0.1421,43.7,50.4,19.4,18.2,31.7,25.0,29.3,39.9,41.5,50.8,31.6,33.2,37.6,42.9,60.4,-13.0,Wagner,,,2025,post,0,,0.0
340,ASun,31.0,103.4,121.1,0.1406,53.7,58.1,17.4,15.4,20.2,30.0,26.5,34.9,53.9,57.8,35.6,39.0,43.2,47.4,66.5,-21.3,Bellarmine,,,2025,post,0,,0.0
341,OVC,31.0,99.7,116.9,0.1378,50.1,51.1,18.2,14.4,28.1,31.8,27.2,30.6,46.7,50.2,37.3,35.1,37.2,34.8,64.6,-16.2,Western Illinois,,,2025,post,0,,0.0
342,SC,30.0,95.6,112.4,0.135,45.4,51.1,19.0,13.5,25.7,29.4,27.0,34.0,46.3,52.8,29.7,32.6,48.2,44.0,70.7,-16.6,Western Carolina,,,2025,post,0,,0.0
343,Horz,32.0,95.2,112.3,0.13,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,28.4,47.0,67.3,-18.9,Detroit Mercy,,,2025,post,0,,0.0
344,SB,32.0,96.9,114.6,0.1263,45.0,53.6,17.1,16.1,29.0,32.5,31.1,25.1,43.1,55.8,32.5,34.0,33.9,45.1,68.0,-20.8,Louisiana Monroe,,,2025,post,0,,0.0
345,MAC,31.0,95.9,113.5,0.1251,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,43.9,35.2,70.9,-17.2,Buffalo,,,2025,post,0,,0.0
346,Slnd,31.0,99.4,117.7,0.1249,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46.0,55.1,30.4,36.4,30.7,42.4,69.5,-19.6,New Orleans,,,2025,post,0,,0.0
347,ASun,31.0,96.9,115.1,0.1219,47.2,56.1,16.3,16.6,26.1,29.2,28.8,36.3,48.4,56.9,29.7,36.8,30.1,43.7,68.3,-20.4,West Georgia,,,2025,post,0,,0.0
348,NEC,32.0,102.9,122.2,0.1216,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37.0,41.3,41.4,68.9,-19.1,Le Moyne,,,2025,post,0,,0.0
349,MAC,31.0,94.4,112.2,0.1203,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44.0,45.3,51.0,32.7,38.0,49.2,37.5,69.1,-20.8,Northern Illinois,,,2025,post,0,,0.0
350,BSky,32.0,95.5,113.9,0.1159,48.0,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,44.9,46.0,65.7,-20.8,Sacramento St.,,,2025,post,0,,0.0
351,ASun,33.0,97.4,117.3,0.1052,47.4,56.8,18.2,16.7,28.6,30.0,28.8,22.6,50.2,55.4,29.6,38.7,47.8,52.1,66.6,-18.3,Central Arkansas,,,2025,post,0,,0.0
352,AE,31.0,94.3,113.8,0.1031,45.3,50.0,18.0,13.8,27.7,31.8,27.4,38.6,45.0,51.9,30.5,31.0,37.8,35.2,66.6,-21.5,NJIT,,,2025,post,0,,0.0
353,ASun,32.0,98.9,119.7,0.1003,50.2,53.1,18.7,13.1,24.1,34.3,33.1,27.7,50.2,52.6,33.5,35.9,37.7,41.4,67.9,-19.5,Stetson,,,2025,post,0,,0.0
354,MAAC,31.0,99.4,121.2,0.0928,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,41.4,40.9,66.4,-23.2,Canisius,,,2025,post,0,,0.0
355,BW,32.0,91.9,112.4,0.0901,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27.0,34.9,34.1,45.8,68.4,-19.5,Cal St. Fullerton,,,2025,post,0,,0.0
356,AE,32.0,94.1,115.2,0.0886,47.1,54.4,19.0,16.9,27.4,31.6,26.4,33.0,46.8,56.4,31.7,34.1,40.8,39.7,67.9,-20.3,New Hampshire,,,2025,post,0,,0.0
357,SWAC,32.0,96.3,118.0,0.0885,48.2,56.2,16.7,20.0,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,33.7,32.7,70.5,-21.2,Prairie View A&M,,,2025,post,0,,0.0
358,SWAC,32.0,92.9,114.9,0.0797,45.1,54.3,21.9,21.0,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39.0,41.6,37.5,71.0,-18.7,Alabama A&M,,,2025,post,0,,0.0
359,MEAC,31.0,95.3,119.0,0.0727,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,37.2,37.7,66.4,-19.3,Maryland Eastern Shore,,,2025,post,0,,0.0
360,SC,30.0,94.0,117.6,0.0708,46.9,54.5,19.5,15.2,27.2,32.0,32.8,32.8,49.5,56.3,29.2,34.7,45.2,42.7,64.8,-21.4,The Citadel,,,2025,post,0,,0.0
361,NEC,32.0,92.7,116.4,0.0683,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,40.9,39.4,68.8,-21.7,Chicago St.,,,2025,post,0,,0.0
362,SWAC,31.0,95.3,121.8,0.0564,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31.0,35.7,37.9,44.9,71.8,-20.0,Arkansas Pine Bluff,,,2025,post,0,,0.0
363,MEAC,30.0,88.0,112.6,0.0558,44.0,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29.0,36.3,32.1,38.8,68.2,-19.0,Coppin St.,,,2025,post,0,,0.0
364,SWAC,31.0,83.1,125.3,0.0088,42.1,57.9,24.3,15.0,22.7,38.0,30.3,38.4,41.6,58.8,28.8,37.7,30.6,38.4,65.1,-21.0,Mississippi Valley St.,,,2025,post,0,,0.0
