rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
121,BSky,31.0,111.6,107.4,0.6075,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,38.1,34.1,69.4,-4.1,Northern Colorado,,,2025,,pre,0.0
122,ASun,32.0,111.1,107.0,0.606,51.7,50.5,12.5,16.8,33.5,29.0,30.8,27.6,51.5,51.7,34.8,32.6,34.8,43.3,67.2,-5.8,North Alabama,,,2025,,pre,0.0
123,MVC,32.0,112.8,108.7,0.6043,56.0,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,47.5,43.3,66.3,-7.8,Illinois St.,,,2025,,pre,0.0
124,ACC,33.0,110.2,106.4,0.601,47.8,53.0,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,37.8,32.8,68.2,-8.2,California,,,2025,,pre,0.0
125,MAC,31.0,104.6,101.0,0.5996,48.7,48.4,17.3,18.9,35.7,28.3,30.0,39.2,50.4,49.4,30.5,31.3,37.7,41.7,66.5,-5.8,Kent St.,,,2025,,pre,0.0
126,Ivy,27.0,114.5,110.8,0.5927,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,48.6,39.1,71.4,-7.2,Cornell,,,2025,,pre,0.0
127,SC,30.0,111.2,107.8,0.5891,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54.0,53.8,36.9,35.0,46.7,43.8,71.6,-4.8,Samford,,,2025,,pre,0.0
128,SB,30.0,106.2,103.1,0.5864,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,45.6,59.3,63.8,-6.3,South Alabama,,,2025,,pre,0.0
129,MVC,32.0,112.1,108.8,0.5852,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27.0,52.9,54.6,38.1,35.1,44.6,43.4,71.3,-5.1,Belmont,,,2025,,pre,0.0
130,CUSA,30.0,106.6,103.8,0.5756,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,45.5,38.4,70.8,-7.2,Kennesaw St.,,,2025,,pre,0.0
131,A10,31.0,105.8,103.1,0.575,50.0,50.2,18.3,20.0,32.9,30.7,30.0,39.5,49.2,48.1,34.0,35.9,43.2,35.9,65.8,-13.0,Duquesne,,,2025,,pre,0.0
132,A10,32.0,109.9,107.2,0.5702,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,42.1,39.9,66.4,-9.2,Davidson,,,2025,,pre,0.0
133,CUSA,30.0,106.2,103.7,0.5683,49.3,52.4,16.6,22.0,25.4,32.4,37.0,40.0,47.7,54.0,34.6,33.4,36.2,41.2,69.2,-8.5,UTEP,,,2025,,pre,0.0
134,CUSA,29.0,107.9,105.4,0.5676,52.5,47.8,18.9,14.7,29.3,28.7,35.0,32.0,53.5,48.8,34.1,30.8,41.4,38.9,65.1,-6.4,Louisiana Tech,,,2025,,pre,0.0
135,BW,30.0,106.8,104.4,0.5653,51.8,49.9,18.9,20.5,35.4,24.1,35.8,45.1,51.5,46.4,35.0,35.6,30.8,50.8,72.9,-5.0,Cal St. Northridge,,,2025,,pre,0.0
136,CUSA,31.0,108.3,106.0,0.562,49.6,49.4,15.7,13.3,30.9,26.5,32.2,28.0,49.1,47.7,33.5,34.5,36.4,42.5,65.4,-5.5,Jacksonville St.,,,2025,,pre,0.0
137,Amer,32.0,106.3,104.1,0.5584,48.7,49.9,16.4,15.7,31.9,28.4,35.2,28.3,50.1,49.9,30.2,33.3,28.4,38.3,69.4,-7.3,Wichita St.,,,2025,,pre,0.0
138,SC,31.0,113.4,111.1,0.5578,56.5,51.2,15.4,16.2,25.8,29.9,31.5,33.8,57.5,50.0,36.8,35.4,45.3,41.0,67.3,-4.0,Chattanooga,,,2025,,pre,0.0
139,Amer,31.0,107.7,105.7,0.5555,52.1,48.4,15.9,17.4,27.2,32.4,35.1,32.8,52.9,48.3,33.9,32.3,39.4,43.1,67.4,-8.6,Tulane,,,2025,,pre,0.0
140,Sum,32.0,111.1,109.0,0.5547,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,38.6,44.5,68.5,-6.4,Nebraska Omaha,15.0,R64,2025,,pre,0.0
141,SC,31.0,108.9,107.0,0.5507,53.6,49.2,17.0,16.5,30.0,31.0,35.4,29.0,53.2,49.2,36.0,32.9,51.4,38.6,66.6,-4.3,Furman,,,2025,,pre,0.0
142,WAC,30.0,103.8,102.2,0.5444,46.5,51.2,17.0,20.9,29.9,27.0,42.3,36.7,46.3,53.3,31.3,31.9,36.3,38.6,66.7,-12.1,Seattle,,,2025,,pre,0.0
143,Slnd,30.0,106.8,105.2,0.5421,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53.0,48.4,34.7,35.0,29.2,36.7,68.2,-8.2,Texas A&M Corpus Chris,,,2025,,pre,0.0
144,BSky,31.0,110.8,109.2,0.5419,56.4,52.2,16.2,15.5,22.6,29.0,36.2,31.9,57.3,53.1,36.5,33.7,36.8,35.0,67.8,-3.0,Montana,14.0,R64,2025,,pre,0.0
145,SC,32.0,111.1,109.6,0.5398,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,47.7,45.8,64.7,-9.6,Wofford,15.0,R64,2025,,pre,0.0
146,MAC,32.0,108.1,106.7,0.5372,55.4,51.3,17.4,19.1,27.5,29.0,28.1,33.3,53.9,51.9,38.2,33.6,44.0,39.9,69.6,-4.3,Miami OH,,,2025,,pre,0.0
147,ACC,32.0,106.6,105.3,0.5357,51.2,52.3,20.1,16.2,31.0,29.2,30.8,31.8,50.3,54.6,35.0,32.6,40.4,41.2,65.8,-9.3,Virginia Tech,,,2025,,pre,0.0
148,WCC,31.0,103.9,102.8,0.5313,50.2,48.5,15.2,15.7,22.8,30.9,29.0,28.9,50.6,49.0,33.1,31.8,40.4,36.6,67.8,-6.9,Loyola Marymount,,,2025,,pre,0.0
149,Horz,30.0,106.4,105.7,0.5199,51.4,51.5,19.4,18.3,39.8,26.6,38.0,32.4,53.1,52.2,31.9,33.6,31.5,38.6,69.4,-6.8,Milwaukee,,,2025,,pre,0.0
150,CUSA,30.0,103.1,102.5,0.5186,47.9,47.4,15.5,17.0,23.5,28.1,32.1,40.6,48.0,48.7,31.7,30.5,39.7,44.1,72.5,-8.2,Western Kentucky,,,2025,,pre,0.0
151,MVC,32.0,105.5,104.8,0.5181,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,40.1,32.1,65.4,-10.2,Murray St.,,,2025,,pre,0.0
152,SB,30.0,110.0,109.4,0.5161,50.7,50.9,15.8,15.6,32.0,30.5,30.4,33.4,50.0,49.6,34.3,35.5,45.2,35.1,65.7,-7.3,James Madison,,,2025,,pre,0.0
153,SB,29.0,101.1,100.6,0.5154,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47.0,34.0,29.8,41.1,40.1,63.9,-9.3,Appalachian St.,,,2025,,pre,0.0
154,BW,32.0,108.1,107.6,0.5133,54.6,48.9,18.2,17.2,27.5,29.2,29.7,32.0,52.4,50.5,38.1,30.8,47.4,36.9,66.0,-8.1,UC Santa Barbara,,,2025,,pre,0.0
155,CAA,32.0,105.2,104.7,0.5131,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,40.0,39.7,71.0,-4.5,Charleston,,,2025,,pre,0.0
156,AE,32.0,106.0,105.5,0.5123,51.0,47.7,16.5,16.4,34.2,28.8,30.4,30.0,51.5,47.3,33.4,32.2,34.8,36.0,73.1,-7.0,Bryant,15.0,R64,2025,,pre,0.0
157,MWC,32.0,107.2,106.8,0.5119,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32.0,41.2,35.2,67.0,-10.3,San Jose St.,,,2025,,pre,0.0
158,A10,30.0,107.2,106.8,0.5114,52.8,49.3,17.9,16.0,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,37.7,39.7,71.1,-7.9,Rhode Island,,,2025,,pre,0.0
159,Amer,31.0,110.0,109.5,0.5112,49.9,50.6,15.7,15.1,32.0,31.2,45.2,36.4,48.2,51.0,35.8,33.3,31.3,36.4,69.5,-9.5,Temple,,,2025,,pre,0.0
160,Horz,33.0,104.9,104.9,0.5027,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30.0,50.7,49.8,34.9,34.2,36.8,35.6,68.7,-4.0,Robert Morris,15.0,R64,2025,,pre,0.0
161,Horz,30.0,109.0,108.9,0.5013,54.7,53.3,13.8,20.1,22.0,32.8,29.1,30.0,54.0,56.2,37.1,32.6,45.6,40.0,70.3,-8.2,Purdue Fort Wayne,,,2025,,pre,0.0
162,BW,31.0,108.8,108.8,0.5005,49.5,51.4,15.8,15.8,32.2,28.9,28.7,33.4,49.0,51.4,33.5,34.4,42.3,38.8,67.8,-4.8,UC Riverside,,,2025,,pre,0.0
163,WAC,32.0,105.7,105.7,0.5001,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,35.0,31.3,66.5,-9.7,Cal Baptist,,,2025,,pre,0.0
164,BSth,31.0,109.4,109.4,0.4993,51.1,51.0,17.7,16.5,33.8,30.0,41.3,37.0,49.9,49.3,35.6,35.8,36.3,40.1,63.7,-7.3,Radford,,,2025,,pre,0.0
165,CUSA,29.0,110.7,110.9,0.4934,51.0,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,38.6,41.2,68.5,-11.7,Sam Houston St.,,,2025,,pre,0.0
166,Slnd,30.0,105.7,106.0,0.4925,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35.0,30.1,36.8,37.6,68.8,-7.2,Nicholls St.,,,2025,,pre,0.0
167,SC,29.0,105.4,106.0,0.4838,50.7,47.8,15.3,16.4,31.1,30.1,29.8,34.0,48.0,48.7,36.2,31.0,42.4,43.1,64.4,-7.6,UNC Greensboro,,,2025,,pre,0.0
168,Slnd,30.0,101.8,102.5,0.4807,47.2,47.6,19.0,17.7,35.5,31.8,29.0,34.8,44.3,47.9,35.6,31.4,32.8,39.1,66.0,-7.1,Lamar,,,2025,,pre,0.0
169,MVC,29.0,106.9,107.7,0.4801,51.1,51.6,17.5,15.8,30.0,27.9,35.1,31.6,51.1,51.6,34.0,34.4,39.4,35.3,69.8,-8.0,Illinois Chicago,,,2025,,pre,0.0
170,SC,30.0,105.1,105.9,0.48,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,41.7,41.1,65.8,-9.1,East Tennessee St.,,,2025,,pre,0.0
171,Horz,30.0,102.6,103.6,0.474,49.3,50.6,18.3,22.3,34.5,34.1,31.0,38.1,49.6,49.8,32.5,34.5,32.7,40.4,66.2,-7.5,Cleveland St.,,,2025,,pre,0.0
172,SB,31.0,105.2,106.2,0.4714,49.9,49.3,16.5,16.8,33.0,29.6,34.8,40.9,51.0,49.7,32.3,32.2,39.6,32.8,69.4,-8.6,Marshall,,,2025,,pre,0.0
173,ASun,31.0,106.9,107.9,0.4714,53.9,50.5,16.2,14.3,30.0,26.5,23.1,29.5,54.1,48.9,35.7,35.1,38.4,44.0,65.9,-9.3,Florida Gulf Coast,,,2025,,pre,0.0
174,MAC,31.0,106.7,107.8,0.471,53.4,52.3,14.9,17.8,23.9,29.0,33.5,36.4,53.9,50.4,35.0,37.6,40.1,32.6,71.0,-11.6,Ohio,,,2025,,pre,0.0
175,CAA,32.0,105.2,106.5,0.4634,47.9,50.8,14.5,17.3,35.3,28.0,28.4,30.7,46.7,50.7,33.4,34.1,37.2,38.8,64.3,-5.8,Towson,,,2025,,pre,0.0
176,MVC,31.0,105.9,107.4,0.459,51.6,52.6,18.3,15.2,30.3,28.0,34.2,33.7,51.0,51.5,35.1,36.1,33.6,39.8,68.6,-12.5,Southern Illinois,,,2025,,pre,0.0
177,ACC,31.0,113.2,114.8,0.4585,51.9,57.4,16.0,15.0,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,38.5,39.9,68.2,-13.6,Miami FL,,,2025,,pre,0.0
178,ACC,31.0,105.3,106.8,0.4584,48.9,51.9,17.3,15.5,28.8,30.0,31.5,37.1,47.5,51.3,34.5,35.2,33.0,35.9,67.4,-10.0,Boston College,,,2025,,pre,0.0
179,BSth,31.0,106.9,108.6,0.4543,53.3,51.4,17.7,18.7,31.2,31.5,47.7,37.1,55.0,50.6,33.8,35.2,38.3,37.9,73.4,-6.2,Winthrop,,,2025,,pre,0.0
180,Amer,31.0,105.7,107.4,0.4534,48.6,47.8,17.8,14.0,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,38.8,36.9,66.1,-13.0,Rice,,,2025,,pre,0.0
181,Horz,33.0,106.2,108.0,0.4511,50.1,51.4,18.0,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,42.3,41.0,64.3,-10.8,Oakland,,,2025,,pre,0.0
182,MWC,31.0,103.2,105.0,0.45,50.3,51.0,19.9,15.8,30.0,27.2,30.4,41.1,49.5,51.7,34.4,33.3,40.7,37.3,65.3,-10.9,Wyoming,,,2025,,pre,0.0
183,BSky,32.0,104.9,106.7,0.45,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,43.0,32.0,66.7,-12.0,Montana St.,,,2025,,pre,0.0
184,Amer,31.0,106.1,108.2,0.4459,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,35.2,35.3,67.2,-8.8,East Carolina,,,2025,,pre,0.0
185,ASun,30.0,109.0,111.1,0.4452,49.7,52.6,13.8,17.8,32.4,33.2,26.0,31.8,47.7,52.1,34.9,35.5,42.2,37.3,68.3,-8.8,Eastern Kentucky,,,2025,,pre,0.0
186,MEAC,31.0,106.7,108.8,0.4431,52.4,49.7,18.3,18.6,32.8,33.8,39.0,34.9,54.5,48.9,31.3,33.9,27.7,42.7,67.1,-5.3,Norfolk St.,16.0,R64,2025,,pre,0.0
187,CAA,32.0,103.3,105.5,0.4409,52.2,47.8,18.6,14.4,33.0,30.1,24.2,28.2,51.9,48.1,35.0,31.6,37.1,35.4,63.7,-11.6,Drexel,,,2025,,pre,0.0
188,Amer,29.0,107.1,109.5,0.4366,49.7,53.3,15.7,20.6,27.0,35.5,29.0,43.9,46.1,53.2,36.1,35.7,44.1,37.9,70.4,-12.6,UTSA,,,2025,,pre,0.0
189,CAA,32.0,104.0,106.3,0.4363,51.1,50.3,18.6,18.2,31.4,31.4,28.0,30.3,51.3,49.2,33.7,34.9,34.8,34.7,68.2,-11.0,Northeastern,,,2025,,pre,0.0
190,ASun,30.0,100.9,103.4,0.4303,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50.0,37.0,34.6,33.9,38.2,68.1,-7.6,Jacksonville,,,2025,,pre,0.0
191,MAAC,33.0,98.9,101.3,0.4302,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33.0,31.0,42.9,36.3,65.2,-9.8,Merrimack,,,2025,,pre,0.0
192,Amer,31.0,103.2,105.8,0.4297,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,37.6,37.5,69.0,-12.4,South Florida,,,2025,,pre,0.0
193,NEC,30.0,99.1,101.8,0.425,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49.0,32.9,30.6,34.8,42.0,66.3,-4.6,Central Connecticut,,,2025,,pre,0.0
194,MEAC,30.0,101.9,104.6,0.4245,50.8,50.1,19.9,22.8,35.7,32.7,42.9,47.0,50.2,51.8,34.7,31.1,33.0,34.1,69.9,-9.2,South Carolina St.,,,2025,,pre,0.0
195,Ivy,28.0,104.2,107.0,0.4244,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,48.7,40.8,67.4,-6.2,Princeton,,,2025,,pre,0.0
196,BSky,29.0,101.1,103.8,0.4242,50.5,50.0,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32.0,31.7,31.7,39.1,68.9,-9.3,Portland St.,,,2025,,pre,0.0
197,BW,34.0,108.3,111.2,0.4226,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56.0,54.3,36.3,34.4,51.1,39.9,75.2,-11.8,Cal Poly,,,2025,,pre,0.0
198,Ivy,26.0,100.4,103.2,0.4224,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,46.5,38.5,71.5,-10.6,Dartmouth,,,2025,,pre,0.0
199,WCC,34.0,106.0,109.2,0.4173,49.6,52.5,16.1,15.3,27.7,30.0,31.6,27.2,48.9,53.3,34.0,34.2,34.7,38.9,69.8,-12.4,Pepperdine,,,2025,,pre,0.0
200,Horz,31.0,109.0,112.2,0.4171,56.3,53.2,17.8,14.2,28.0,27.9,27.0,34.5,55.3,52.2,38.6,36.7,37.8,36.0,68.1,-13.5,Wright St.,,,2025,,pre,0.0
201,Slnd,30.0,103.7,106.9,0.4153,49.2,51.4,17.4,18.8,30.9,29.4,34.7,36.5,49.5,51.9,32.4,33.7,31.6,42.2,67.6,-9.3,Southeastern Louisiana,,,2025,,pre,0.0
202,Ivy,26.0,102.8,106.0,0.4116,51.1,49.3,17.1,15.7,30.1,30.7,28.0,29.1,52.1,49.2,33.1,32.9,40.5,37.4,66.5,-8.6,Brown,,,2025,,pre,0.0
203,SB,30.0,108.4,111.9,0.4111,50.7,49.9,18.1,16.1,35.2,31.5,36.0,41.6,49.3,47.4,36.4,36.1,27.8,36.4,66.7,-11.4,Texas St.,,,2025,,pre,0.0
204,MVC,30.0,108.6,112.1,0.4103,54.6,54.3,19.5,15.8,26.2,27.0,35.9,38.8,56.6,54.5,35.0,35.9,50.1,38.0,73.0,-12.1,Indiana St.,,,2025,,pre,0.0
205,Horz,32.0,101.3,104.7,0.4055,49.8,48.8,17.6,18.0,29.3,31.2,36.4,35.8,52.1,48.1,31.3,33.5,46.2,32.8,69.9,-8.9,Youngstown St.,,,2025,,pre,0.0
206,ASun,31.0,105.3,108.9,0.404,52.3,51.7,18.0,16.0,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,44.2,37.8,69.2,-8.7,Queens,,,2025,,pre,0.0
207,MAAC,32.0,101.7,105.3,0.4016,48.4,49.5,17.9,17.1,33.5,26.0,31.1,28.3,50.7,46.7,29.8,36.1,38.0,37.1,72.2,-9.3,Quinnipiac,,,2025,,pre,0.0
208,OVC,30.0,101.2,104.9,0.3991,51.3,47.6,15.4,19.0,24.0,28.7,28.9,42.8,51.1,48.8,34.5,30.0,36.0,31.6,69.6,-8.6,Southeast Missouri St.,,,2025,,pre,0.0
209,CAA,30.0,106.5,110.4,0.3987,50.2,48.1,19.0,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,41.7,43.5,65.7,-10.9,Elon,,,2025,,pre,0.0
210,MVC,30.0,102.2,105.9,0.3985,50.9,54.7,20.7,19.1,32.0,28.4,34.3,38.5,49.1,55.0,36.0,36.1,37.0,39.4,64.5,-16.9,Missouri St.,,,2025,,pre,0.0
211,A10,32.0,103.3,107.2,0.3963,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30.0,44.5,54.5,32.8,33.2,33.2,41.5,69.4,-11.8,La Salle,,,2025,,pre,0.0
212,MVC,32.0,105.9,109.8,0.3959,47.7,53.7,14.0,17.1,26.5,28.5,33.6,35.4,47.3,54.2,32.3,35.2,38.4,36.0,68.6,-12.5,Valparaiso,,,2025,,pre,0.0
213,BE,32.0,97.7,101.4,0.3957,44.7,54.6,19.1,22.2,31.2,31.8,32.9,39.6,43.9,54.5,31.2,36.6,30.5,44.4,65.1,-13.1,Seton Hall,,,2025,,pre,0.0
214,WAC,29.0,98.0,101.8,0.3935,46.7,51.4,20.7,24.0,30.0,31.5,37.2,51.3,47.8,52.6,28.9,32.6,25.3,32.5,69.9,-10.5,Abilene Christian,,,2025,,pre,0.0
215,BSky,27.0,105.2,109.4,0.3899,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53.0,31.2,37.3,36.6,37.7,66.6,-10.5,Idaho St.,,,2025,,pre,0.0
216,SWAC,29.0,98.6,102.6,0.3882,47.2,49.2,18.5,21.1,34.4,28.5,38.1,42.3,47.4,48.2,31.2,33.8,33.3,39.4,69.1,-7.0,Southern,,,2025,,pre,0.0
217,MAC,27.0,104.2,108.5,0.3872,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,33.3,43.9,67.9,-11.4,Central Michigan,,,2025,,pre,0.0
218,CAA,30.0,107.3,111.7,0.3865,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,51.5,41.6,72.1,-10.6,William & Mary,,,2025,,pre,0.0
219,Slnd,27.0,105.3,109.6,0.3851,51.7,51.4,19.2,17.6,30.8,33.9,22.7,29.9,55.4,52.0,31.8,33.4,49.0,35.1,71.2,-9.9,UT Rio Grande Valley,,,2025,,pre,0.0
220,Slnd,30.0,102.4,106.9,0.3808,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,35.7,39.7,64.5,-9.4,Northwestern St.,,,2025,,pre,0.0
221,CAA,30.0,102.9,107.4,0.3788,47.5,52.6,16.0,18.8,34.0,28.7,30.3,43.6,46.9,53.3,32.4,34.2,36.7,35.7,66.2,-11.5,Hampton,,,2025,,pre,0.0
222,OVC,30.0,101.1,105.6,0.3784,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34.0,33.0,36.3,38.6,66.6,-7.7,SIU Edwardsville,16.0,R64,2025,,pre,0.0
223,BSth,28.0,107.6,112.4,0.3781,52.0,53.4,14.8,18.0,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,35.0,38.9,68.6,-6.5,UNC Asheville,,,2025,,pre,0.0
224,CAA,31.0,97.6,102.0,0.3775,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38.0,48.1,42.6,33.2,33.9,42.3,40.4,64.3,-13.4,Hofstra,,,2025,,pre,0.0
225,A10,31.0,101.6,106.2,0.3772,45.1,49.8,16.1,17.5,34.3,31.0,34.0,36.6,46.6,49.7,28.0,33.2,32.2,39.9,71.1,-13.5,Massachusetts,,,2025,,pre,0.0
226,BSth,29.0,105.1,109.8,0.3755,51.3,55.9,18.0,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,33.9,41.6,69.7,-9.7,Longwood,,,2025,,pre,0.0
227,CAA,34.0,109.1,114.3,0.3705,55.1,52.2,16.6,15.5,22.4,32.5,30.0,32.9,54.1,51.9,37.7,35.3,39.9,34.1,71.0,-15.0,Delaware,,,2025,,pre,0.0
228,A10,32.0,105.6,110.6,0.369,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32.0,35.5,41.5,31.8,70.3,-14.1,Fordham,,,2025,,pre,0.0
229,BW,29.0,102.5,107.6,0.3622,50.6,49.5,20.7,13.1,31.0,24.9,39.9,33.7,53.1,48.0,31.0,35.0,37.4,32.4,66.6,-11.1,Hawaii,,,2025,,pre,0.0
230,CAA,30.0,100.8,106.0,0.3588,50.0,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,41.8,36.8,66.5,-12.6,Campbell,,,2025,,pre,0.0
231,Sum,29.0,100.8,106.0,0.3581,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,44.0,40.8,65.1,-14.7,UMKC,,,2025,,pre,0.0
232,Pat,33.0,101.7,107.0,0.3573,53.8,50.3,18.6,17.0,26.0,28.0,36.7,35.4,54.4,49.0,35.3,34.7,41.0,40.6,68.2,-10.3,Bucknell,,,2025,,pre,0.0
233,AE,32.0,99.0,104.2,0.3569,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29.0,50.6,50.7,35.7,33.3,33.0,36.2,66.7,-10.2,Maine,,,2025,,pre,0.0
234,A10,30.0,103.0,108.6,0.3534,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,45.6,48.6,64.5,-15.1,Richmond,,,2025,,pre,0.0
235,Sum,30.0,109.2,115.1,0.3517,50.1,54.8,12.6,17.3,30.0,35.7,45.4,35.2,51.7,55.4,31.6,35.9,37.5,38.9,75.2,-8.8,South Dakota,,,2025,,pre,0.0
236,AE,31.0,99.0,104.5,0.3502,49.0,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33.0,43.5,38.6,63.3,-8.1,Vermont,,,2025,,pre,0.0
237,WAC,29.0,106.5,112.4,0.3496,51.7,50.4,19.2,16.4,32.8,32.5,37.0,34.3,50.6,48.5,35.4,36.0,42.2,34.9,68.3,-12.9,UT Arlington,,,2025,,pre,0.0
238,MAC,32.0,110.8,117.4,0.3413,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,28.6,37.5,69.0,-8.9,Toledo,,,2025,,pre,0.0
239,Slnd,29.0,105.8,112.2,0.3393,51.1,52.0,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,36.3,31.2,64.9,-11.7,Incarnate Word,,,2025,,pre,0.0
240,OVC,30.0,102.4,108.6,0.3383,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,33.6,35.9,71.2,-12.9,Tennessee St.,,,2025,,pre,0.0
241,MAAC,32.0,105.1,111.7,0.333,51.0,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,44.6,43.1,71.0,-14.6,Sacred Heart,,,2025,,pre,0.0
242,Amer,31.0,101.7,108.0,0.3327,49.5,49.7,16.9,14.4,27.2,31.1,34.2,33.6,51.5,50.0,31.2,32.7,42.3,34.0,67.0,-14.4,Tulsa,,,2025,,pre,0.0
