rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
243,Pat,32.0,101.7,108.0,0.3325,51.8,52.1,16.8,17.6,23.8,27.4,29.5,34.1,51.1,53.1,35.1,33.6,44.8,35.7,64.2,-8.2,American,16.0,R68,2025,,pre,0.0
244,BSky,29.0,104.0,110.6,0.3306,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36.0,38.2,37.0,67.4,-11.5,Northern Arizona,,,2025,,pre,0.0
245,OVC,31.0,97.6,103.9,0.3288,49.5,46.7,20.4,21.5,30.4,35.4,29.0,37.9,47.2,46.3,36.6,31.4,30.3,44.2,67.5,-9.9,Little Rock,,,2025,,pre,0.0
246,Sum,30.0,107.9,114.9,0.328,49.7,56.5,16.6,15.0,33.7,28.7,33.6,33.0,50.3,57.1,32.5,37.1,40.0,40.6,69.7,-15.1,North Dakota,,,2025,,pre,0.0
247,Horz,31.0,101.6,108.2,0.3255,49.8,52.5,17.3,19.9,31.0,32.5,31.3,29.3,50.0,50.6,33.0,37.0,40.0,40.1,66.7,-11.0,Northern Kentucky,,,2025,,pre,0.0
248,BSky,31.0,107.9,115.1,0.324,51.8,54.0,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,47.9,39.9,67.1,-14.0,Idaho,,,2025,,pre,0.0
249,SB,32.0,102.3,109.2,0.3205,50.6,50.1,19.0,18.4,33.0,33.0,26.5,43.1,49.8,51.2,34.5,32.3,44.3,40.1,70.3,-11.2,Georgia Southern,,,2025,,pre,0.0
250,Ivy,26.0,101.5,108.4,0.3199,50.6,52.2,18.0,17.7,25.0,31.1,24.4,24.6,52.2,53.4,32.0,33.5,39.9,36.5,66.4,-10.8,Harvard,,,2025,,pre,0.0
251,MAAC,34.0,98.7,105.5,0.3171,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,34.7,44.5,69.0,-13.8,Iona,,,2025,,pre,0.0
252,SB,32.0,106.1,113.4,0.3166,50.4,51.0,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,33.3,41.5,69.8,-13.1,Georgia St.,,,2025,,pre,0.0
253,BW,30.0,96.5,103.2,0.3146,46.3,50.0,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,35.5,37.7,67.9,-11.4,UC Davis,,,2025,,pre,0.0
254,AE,29.0,107.5,115.3,0.3097,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,34.6,34.7,69.4,-11.5,UMass Lowell,,,2025,,pre,0.0
255,MVC,31.0,97.8,105.1,0.3032,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,40.6,44.9,67.6,-14.7,Evansville,,,2025,,pre,0.0
256,Slnd,30.0,100.8,108.5,0.3005,49.1,52.6,18.0,17.9,26.0,32.0,30.5,29.4,49.3,54.5,32.5,32.3,44.0,31.8,65.3,-14.4,Houston Christian,,,2025,,pre,0.0
257,BSth,29.0,103.1,111.0,0.3,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36.0,34.4,34.2,34.7,65.1,-13.8,Presbyterian,,,2025,,pre,0.0
258,BSth,31.0,102.5,110.4,0.2993,51.9,52.0,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33.0,32.3,33.1,38.0,69.8,-14.9,Gardner Webb,,,2025,,pre,0.0
259,Amer,32.0,104.3,112.5,0.2949,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37.0,49.6,56.4,31.0,33.3,40.9,34.5,65.5,-16.4,Charlotte,,,2025,,pre,0.0
260,MWC,32.0,100.2,108.1,0.2943,46.1,54.0,17.7,18.0,27.0,34.0,36.4,23.5,45.6,56.0,31.3,34.2,35.3,43.0,71.5,-16.5,Fresno St.,,,2025,,pre,0.0
261,MAAC,29.0,107.1,115.6,0.2939,50.7,50.5,17.0,15.2,32.6,31.9,31.0,25.9,50.3,51.8,34.2,32.5,41.9,42.3,68.2,-10.0,Manhattan,,,2025,,pre,0.0
262,BW,31.0,104.8,113.2,0.2934,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,28.4,41.5,66.7,-14.0,Cal St. Bakersfield,,,2025,,pre,0.0
263,SWAC,34.0,99.3,107.3,0.2905,47.7,50.6,19.5,17.4,30.1,30.0,37.5,30.6,47.1,50.3,32.6,34.1,33.7,41.7,69.2,-10.6,Jackson St.,,,2025,,pre,0.0
264,CUSA,31.0,96.2,104.0,0.2895,46.1,51.6,19.5,20.6,31.0,29.6,36.0,37.5,47.4,52.6,28.8,33.3,30.1,39.5,69.2,-17.4,FIU,,,2025,,pre,0.0
265,MAC,28.0,103.6,112.1,0.2889,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51.0,54.5,34.6,31.5,37.1,39.7,67.1,-13.7,Ball St.,,,2025,,pre,0.0
266,CAA,33.0,103.3,111.7,0.2881,47.2,50.7,16.2,16.6,29.8,34.8,36.7,36.1,44.2,50.7,35.2,33.8,34.6,40.7,67.9,-14.4,Monmouth,,,2025,,pre,0.0
267,MAAC,33.0,99.1,107.3,0.2871,51.0,48.0,21.7,15.9,31.1,28.3,31.0,26.7,50.1,48.7,34.9,31.4,41.0,44.5,68.1,-8.1,Mount St. Mary's,16.0,R64,2025,,pre,0.0
268,WCC,30.0,104.9,113.5,0.2869,50.1,54.6,18.0,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,43.6,40.9,69.0,-12.6,Portland,,,2025,,pre,0.0
269,ASun,30.0,108.4,117.3,0.2863,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,54.0,31.1,72.9,-11.5,North Florida,,,2025,,pre,0.0
270,Pat,32.0,103.5,112.3,0.2825,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,42.2,40.0,67.7,-14.9,Colgate,,,2025,,pre,0.0
271,MAAC,32.0,101.5,110.3,0.2773,49.4,51.7,17.2,18.2,28.8,30.0,37.3,31.4,49.5,51.8,32.8,34.3,39.9,34.2,67.7,-14.5,Siena,,,2025,,pre,0.0
272,BSky,30.0,102.3,111.3,0.2752,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,37.6,38.4,67.7,-16.4,Eastern Washington,,,2025,,pre,0.0
273,SC,31.0,98.9,107.6,0.275,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,40.1,46.0,71.7,-14.4,Mercer,,,2025,,pre,0.0
274,MAAC,30.0,97.1,105.9,0.27,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,37.6,35.4,64.7,-8.0,Marist,,,2025,,pre,0.0
275,MAC,30.0,100.2,109.3,0.2689,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,39.7,42.4,69.5,-14.2,Bowling Green,,,2025,,pre,0.0
276,SWAC,33.0,101.4,110.6,0.2687,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,42.9,39.5,68.4,-10.1,Alabama St.,16.0,R64,2025,,pre,0.0
277,Slnd,28.0,94.8,103.6,0.2668,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,36.9,37.1,68.0,-12.0,Stephen F. Austin,,,2025,,pre,0.0
278,MAC,31.0,103.8,113.4,0.2663,52.4,53.7,18.7,17.8,29.6,31.7,33.0,38.5,52.4,51.9,35.0,37.7,38.2,38.8,67.9,-12.0,Eastern Michigan,,,2025,,pre,0.0
279,AE,31.0,103.1,112.6,0.2657,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,36.0,34.9,68.3,-12.9,Albany,,,2025,,pre,0.0
280,MAC,31.0,101.9,111.7,0.2589,47.0,54.5,15.8,16.6,34.4,27.9,31.0,33.2,49.3,55.0,28.2,35.8,32.9,41.0,68.4,-14.7,Western Michigan,,,2025,,pre,0.0
281,Sum,29.0,100.1,109.7,0.2588,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,36.9,37.9,67.2,-15.9,Denver,,,2025,,pre,0.0
282,Ivy,25.0,105.5,115.6,0.2585,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,39.1,41.8,71.5,-11.3,Columbia,,,2025,,pre,0.0
283,OVC,30.0,101.8,111.6,0.2577,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52.0,31.1,35.0,47.3,48.2,67.0,-15.4,Tennessee Martin,,,2025,,pre,0.0
284,WCC,31.0,100.9,110.7,0.2558,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,37.8,39.5,67.2,-15.6,Pacific,,,2025,,pre,0.0
285,NEC,31.0,94.9,104.5,0.2483,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,33.4,39.8,65.6,-12.6,LIU,,,2025,,pre,0.0
286,SWAC,29.0,95.7,105.5,0.246,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,35.8,41.3,70.6,-11.9,Texas Southern,,,2025,,pre,0.0
287,OVC,30.0,101.4,111.8,0.245,50.7,49.6,17.4,15.2,25.0,32.4,28.8,22.2,49.0,50.6,35.1,31.9,46.4,34.1,68.5,-13.2,Tennessee Tech,,,2025,,pre,0.0
288,SWAC,33.0,97.2,107.4,0.2413,48.2,48.8,19.5,16.7,28.8,30.0,35.9,32.4,48.4,49.8,31.9,31.3,33.9,36.9,69.6,-10.1,Bethune Cookman,,,2025,,pre,0.0
289,BSky,31.0,101.4,112.2,0.2391,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,37.2,43.0,66.2,-17.1,Weber St.,,,2025,,pre,0.0
290,Pat,33.0,101.2,112.0,0.2388,48.0,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,37.1,41.2,67.7,-16.2,Navy,,,2025,,pre,0.0
291,MAAC,27.0,95.1,105.3,0.2379,44.7,47.3,20.7,17.6,37.0,31.0,34.7,37.6,42.4,47.0,32.2,31.9,38.5,38.0,64.5,-13.3,Saint Peter's,,,2025,,pre,0.0
292,WCC,32.0,99.2,110.1,0.2323,45.7,54.0,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,35.8,38.3,71.7,-19.5,San Diego,,,2025,,pre,0.0
293,WAC,29.0,92.9,103.2,0.2318,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45.0,52.9,32.2,33.9,25.6,42.2,66.3,-13.3,Tarleton St.,,,2025,,pre,0.0
294,MWC,32.0,98.8,109.7,0.2315,50.1,54.6,20.8,15.7,22.7,29.0,35.4,35.4,50.5,54.8,33.1,36.3,48.5,36.2,65.2,-19.3,Air Force,,,2025,,pre,0.0
295,ASun,31.0,100.1,111.2,0.2305,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36.0,47.1,52.0,34.0,37.9,40.2,35.9,66.7,-13.5,Austin Peay,,,2025,,pre,0.0
296,SB,33.0,99.4,110.8,0.2236,44.1,51.2,16.9,16.0,36.4,32.0,30.9,35.0,45.0,51.2,28.3,34.1,35.8,35.3,66.7,-15.3,Old Dominion,,,2025,,pre,0.0
297,Pat,32.0,97.5,108.7,0.2226,50.2,50.4,16.6,16.7,24.0,28.0,30.5,26.9,49.7,48.3,34.0,35.8,40.3,37.9,66.8,-16.8,Lafayette,,,2025,,pre,0.0
298,MEAC,28.0,104.0,116.1,0.2198,53.5,52.3,21.2,16.5,29.0,33.8,35.7,40.9,52.6,53.1,36.6,33.8,38.4,33.5,70.4,-13.6,Howard,,,2025,,pre,0.0
299,Sum,26.0,104.2,116.5,0.2185,50.0,55.0,16.3,13.9,22.6,33.1,35.0,38.2,48.5,56.6,34.4,35.0,45.7,40.2,67.9,-16.2,Oral Roberts,,,2025,,pre,0.0
300,WAC,31.0,101.5,113.6,0.2142,48.8,53.0,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,39.8,31.5,68.1,-19.9,Utah Tech,,,2025,,pre,0.0
301,SB,31.0,97.1,108.8,0.2135,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,36.9,38.4,71.5,-16.9,Southern Miss,,,2025,,pre,0.0
302,Pat,28.0,99.5,111.5,0.2133,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53.0,36.4,31.2,37.3,36.7,67.9,-15.2,Lehigh,,,2025,,pre,0.0
303,SB,32.0,98.3,110.1,0.2133,45.7,51.3,16.0,19.1,25.9,35.5,29.8,43.8,45.0,53.8,31.3,31.5,38.1,36.9,67.0,-15.7,Louisiana,,,2025,,pre,0.0
304,NEC,30.0,99.9,112.0,0.2119,51.6,51.3,19.6,16.4,25.4,30.0,23.8,28.7,52.6,53.4,33.4,32.3,41.9,43.2,67.9,-12.1,Saint Francis,16.0,R68,2025,,pre,0.0
305,BSth,30.0,99.3,111.5,0.2076,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,42.0,29.2,68.2,-16.2,Charleston Southern,,,2025,,pre,0.0
306,NEC,30.0,98.6,110.8,0.2068,49.1,50.5,17.1,17.6,25.9,32.0,32.1,30.4,49.7,53.3,32.2,30.3,41.5,35.6,70.0,-15.7,Fairleigh Dickinson,,,2025,,pre,0.0
307,Pat,29.0,100.6,113.1,0.2062,49.7,53.7,14.7,16.0,25.8,29.3,25.8,27.1,52.1,55.2,30.8,34.5,41.1,42.2,68.3,-12.0,Army,,,2025,,pre,0.0
308,Ivy,27.0,102.6,115.5,0.2051,49.4,53.0,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,44.4,39.2,67.6,-13.8,Penn,,,2025,,pre,0.0
309,WAC,28.0,97.1,109.3,0.2044,46.8,49.9,21.6,15.1,30.1,32.0,36.2,33.0,47.2,49.8,30.5,33.3,32.6,27.7,69.7,-13.6,Southern Utah,,,2025,,pre,0.0
310,AE,29.0,105.1,118.3,0.2039,55.2,54.1,15.9,17.4,19.4,33.7,31.6,27.9,53.8,54.2,38.4,35.8,38.4,34.4,71.2,-15.6,UMBC,,,2025,,pre,0.0
311,Horz,29.0,108.7,122.4,0.2033,50.4,57.0,15.7,16.0,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,47.3,40.8,65.6,-17.5,IU Indy,,,2025,,pre,0.0
312,OVC,29.0,98.4,111.1,0.198,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,34.1,33.4,64.8,-13.1,Morehead St.,,,2025,,pre,0.0
313,SB,30.0,101.0,114.2,0.1963,49.4,48.6,18.4,10.5,29.0,28.7,34.4,36.9,47.7,48.5,34.8,32.5,39.2,36.3,63.9,-18.2,Coastal Carolina,,,2025,,pre,0.0
314,MAAC,33.0,101.3,114.5,0.1956,47.7,53.1,17.2,16.0,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,30.1,40.9,65.6,-14.6,Rider,,,2025,,pre,0.0
315,Pat,30.0,99.8,112.9,0.1951,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,39.6,35.7,67.2,-16.1,Loyola MD,,,2025,,pre,0.0
316,SC,30.0,98.7,111.7,0.193,48.5,54.2,18.0,17.6,25.2,32.1,37.5,30.5,50.3,56.3,31.0,34.5,46.9,47.5,68.8,-14.7,VMI,,,2025,,pre,0.0
317,Pat,31.0,98.1,111.2,0.1911,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32.0,50.7,51.2,33.0,36.1,41.9,40.2,64.0,-13.2,Boston University,,,2025,,pre,0.0
318,OVC,28.0,93.9,106.4,0.1908,44.1,51.0,18.7,20.8,30.0,30.9,33.0,39.7,42.6,50.2,31.7,34.7,29.7,44.4,66.8,-14.4,Eastern Illinois,,,2025,,pre,0.0
319,BW,30.0,100.5,114.0,0.1904,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47.0,51.2,35.3,38.1,37.1,37.6,64.8,-19.1,Long Beach St.,,,2025,,pre,0.0
320,AE,29.0,99.0,112.5,0.1884,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,36.2,40.3,66.3,-14.1,Binghamton,,,2025,,pre,0.0
321,MEAC,29.0,102.5,116.4,0.1878,50.1,54.8,19.2,21.0,34.6,38.8,39.8,42.0,49.9,57.6,33.7,32.7,34.0,32.8,67.7,-15.3,North Carolina Central,,,2025,,pre,0.0
322,MEAC,26.0,100.5,114.2,0.1856,48.8,53.8,18.1,20.0,34.0,32.1,36.3,40.3,47.6,56.3,35.5,33.5,20.7,41.1,70.8,-10.9,Delaware St.,,,2025,,pre,0.0
323,NEC,30.0,100.3,114.1,0.1838,51.1,50.9,18.3,16.2,26.4,29.4,31.4,32.7,49.4,50.1,35.4,34.9,44.5,33.3,65.9,-13.7,Stonehill,,,2025,,pre,0.0
324,SWAC,31.0,95.6,108.9,0.1823,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47.0,32.0,35.7,35.0,35.6,64.6,-16.8,Grambling St.,,,2025,,pre,0.0
325,OVC,30.0,94.5,107.7,0.1816,45.0,50.7,17.9,19.4,30.0,31.5,36.0,34.7,47.6,50.0,26.7,34.6,34.6,37.5,70.1,-12.8,Lindenwood,,,2025,,pre,0.0
326,MAAC,30.0,100.9,115.1,0.181,52.0,53.0,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,42.8,38.4,65.6,-16.7,Niagara,,,2025,,pre,0.0
327,Pat,30.0,101.4,115.8,0.1774,53.1,53.5,17.9,13.6,23.3,27.0,22.2,25.4,49.6,54.5,38.6,34.5,42.3,37.8,66.6,-15.5,Holy Cross,,,2025,,pre,0.0
328,Horz,31.0,100.9,115.4,0.1752,50.9,54.8,18.0,14.6,18.4,32.0,37.0,35.4,52.2,54.1,32.9,37.3,46.2,39.4,69.8,-21.6,Green Bay,,,2025,,pre,0.0
329,SWAC,31.0,97.1,111.2,0.1734,46.1,53.0,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,29.6,45.3,65.5,-13.9,Alcorn St.,,,2025,,pre,0.0
330,SWAC,29.0,101.1,116.3,0.1677,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,46.6,36.5,67.9,-10.8,Florida A&M,,,2025,,pre,0.0
331,Slnd,31.0,96.2,111.1,0.1609,49.2,53.8,22.5,19.9,28.1,35.9,28.0,36.5,51.1,52.6,31.4,37.4,48.3,34.6,68.1,-19.8,Texas A&M Commerce,,,2025,,pre,0.0
332,BSth,29.0,99.3,114.8,0.1581,49.8,56.1,19.0,16.6,25.3,32.4,30.4,39.5,53.1,58.3,29.4,35.2,36.9,40.2,73.4,-21.0,USC Upstate,,,2025,,pre,0.0
333,OVC,28.0,98.7,114.3,0.1554,47.9,51.8,17.2,16.7,27.9,31.3,30.7,35.6,45.4,50.0,35.2,36.7,33.5,36.5,67.7,-17.4,Southern Indiana,,,2025,,pre,0.0
334,CAA,31.0,97.2,113.0,0.1503,45.8,51.5,15.4,15.3,27.0,31.4,31.2,30.0,46.3,52.4,30.0,33.3,36.0,38.5,70.0,-20.1,North Carolina A&T,,,2025,,pre,0.0
335,MAAC,31.0,98.2,114.1,0.1502,46.3,53.7,15.5,18.2,28.6,31.0,25.4,31.0,45.8,53.4,31.5,36.0,38.3,36.9,66.6,-16.9,Fairfield,,,2025,,pre,0.0
336,NEC,28.0,99.4,115.7,0.1484,48.6,55.0,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56.0,35.7,35.7,36.4,39.8,65.3,-12.6,Mercyhurst,,,2025,,pre,0.0
337,CAA,31.0,101.0,117.6,0.1475,47.7,56.0,18.3,14.9,29.5,31.2,31.6,28.4,45.7,57.2,33.8,36.3,39.0,42.3,65.2,-19.6,Stony Brook,,,2025,,pre,0.0
338,MEAC,28.0,100.6,117.7,0.1414,49.0,52.4,17.9,17.0,34.1,36.9,35.7,39.1,49.5,51.0,31.6,36.8,21.7,34.3,71.1,-14.4,Morgan St.,,,2025,,pre,0.0
339,NEC,26.0,92.5,108.4,0.1393,43.7,50.4,19.4,18.2,31.7,25.0,29.3,39.9,41.5,50.8,31.6,33.2,37.6,42.9,60.8,-13.0,Wagner,,,2025,,pre,0.0
340,Horz,31.0,94.7,111.5,0.1322,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,28.4,47.0,67.8,-18.9,Detroit Mercy,,,2025,,pre,0.0
341,Slnd,31.0,99.1,116.8,0.1315,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46.0,55.1,30.4,36.4,30.7,42.4,69.9,-19.6,New Orleans,,,2025,,pre,0.0
342,OVC,28.0,99.3,117.0,0.1307,50.1,51.1,18.2,14.4,28.1,31.8,27.2,30.6,46.7,50.2,37.3,35.1,37.2,34.8,65.1,-16.2,Western Illinois,,,2025,,pre,0.0
343,MAC,29.0,95.9,113.4,0.1275,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,43.9,35.2,71.3,-17.2,Buffalo,,,2025,,pre,0.0
344,ASun,29.0,102.8,121.6,0.1271,53.7,58.1,17.4,15.4,20.2,30.0,26.5,34.9,53.9,57.8,35.6,39.0,43.2,47.4,67.0,-21.3,Bellarmine,,,2025,,pre,0.0
345,SC,27.0,94.6,111.9,0.127,45.4,51.1,19.0,13.5,25.7,29.4,27.0,34.0,46.3,52.8,29.7,32.6,48.2,44.0,71.2,-16.6,Western Carolina,,,2025,,pre,0.0
346,SB,30.0,96.3,113.8,0.1267,45.0,53.6,17.1,16.1,29.0,32.5,31.1,25.1,43.1,55.8,32.5,34.0,33.9,45.1,68.5,-20.8,Louisiana Monroe,,,2025,,pre,0.0
347,NEC,30.0,102.1,120.8,0.126,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37.0,41.3,41.4,69.3,-19.1,Le Moyne,,,2025,,pre,0.0
348,ASun,30.0,96.8,114.8,0.1241,47.2,56.1,16.3,16.6,26.1,29.2,28.8,36.3,48.4,56.9,29.7,36.8,30.1,43.7,68.8,-20.4,West Georgia,,,2025,,pre,0.0
349,BSky,29.0,94.8,113.2,0.1147,48.0,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,44.9,46.0,66.1,-20.8,Sacramento St.,,,2025,,pre,0.0
350,MAC,28.0,93.9,112.1,0.1144,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44.0,45.3,51.0,32.7,38.0,49.2,37.5,69.6,-20.8,Northern Illinois,,,2025,,pre,0.0
351,ASun,31.0,96.9,116.3,0.109,47.4,56.8,18.2,16.7,28.6,30.0,28.8,22.6,50.2,55.4,29.6,38.7,47.8,52.1,67.0,-18.3,Central Arkansas,,,2025,,pre,0.0
352,BW,30.0,93.1,112.1,0.1062,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27.0,34.9,34.1,45.8,68.8,-19.5,Cal St. Fullerton,,,2025,,pre,0.0
353,SWAC,31.0,97.4,117.4,0.1042,48.2,56.2,16.7,20.0,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,33.7,32.7,71.0,-21.2,Prairie View A&M,,,2025,,pre,0.0
354,ASun,30.0,98.9,119.5,0.1023,50.2,53.1,18.7,13.1,24.1,34.3,33.1,27.7,50.2,52.6,33.5,35.9,37.7,41.4,68.3,-19.5,Stetson,,,2025,,pre,0.0
355,AE,30.0,93.3,112.9,0.1011,45.3,50.0,18.0,13.8,27.7,31.8,27.4,38.6,45.0,51.9,30.5,31.0,37.8,35.2,67.0,-21.5,NJIT,,,2025,,pre,0.0
356,MAAC,31.0,99.8,121.3,0.0959,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,41.4,40.9,66.9,-23.2,Canisius,,,2025,,pre,0.0
357,AE,30.0,93.4,115.0,0.0836,47.1,54.4,19.0,16.9,27.4,31.6,26.4,33.0,46.8,56.4,31.7,34.1,40.8,39.7,68.4,-20.3,New Hampshire,,,2025,,pre,0.0
358,SWAC,29.0,92.9,114.6,0.0822,45.1,54.3,21.9,21.0,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39.0,41.6,37.5,71.5,-18.7,Alabama A&M,,,2025,,pre,0.0
359,MEAC,27.0,95.6,119.0,0.0748,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,37.2,37.7,66.8,-19.3,Maryland Eastern Shore,,,2025,,pre,0.0
360,NEC,32.0,91.8,114.6,0.0725,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,40.9,39.4,69.3,-21.7,Chicago St.,,,2025,,pre,0.0
361,SC,26.0,93.5,117.1,0.0702,46.9,54.5,19.5,15.2,27.2,32.0,32.8,32.8,49.5,56.3,29.2,34.7,45.2,42.7,65.3,-21.4,The Citadel,,,2025,,pre,0.0
362,SWAC,29.0,96.0,122.3,0.0584,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31.0,35.7,37.9,44.9,72.3,-20.0,Arkansas Pine Bluff,,,2025,,pre,0.0
363,MEAC,29.0,87.7,112.6,0.0535,44.0,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29.0,36.3,32.1,38.8,68.7,-19.0,Coppin St.,,,2025,,pre,0.0
364,SWAC,29.0,83.3,125.3,0.009,42.1,57.9,24.3,15.0,22.7,38.0,30.3,38.4,41.6,58.8,28.8,37.7,30.6,38.4,65.5,-21.0,Mississippi Valley St.,,,2025,,pre,0.0
